Wall time,Step,Value
1493094084.909873,0,0.053262580186128616
1493094160.278185,1,0.21014350652694702
1493094235.502697,2,0.3223904073238373
1493094310.594526,3,0.3976803719997406
1493094385.727707,4,0.43247494101524353
1493094460.913799,5,0.46825242042541504
1493094535.944365,6,0.5058962106704712
1493094610.909517,7,0.5364655256271362
1493094685.929222,8,0.559661865234375
1493094761.00285,9,0.5687045454978943
1493094836.072314,10,0.5806958675384521
1493094911.147318,11,0.5826616883277893
1493094986.175741,12,0.597208559513092
1493095061.155114,13,0.6220518946647644
1493095136.128357,14,0.6298407912254333
1493095219.253926,0,0.6428149938583374
1493095297.409652,1,0.6406526565551758
1493095375.513069,2,0.6286612749099731
1493095453.669281,3,0.6520542502403259
1493095531.757191,4,0.6382936835289001
1493095609.976412,5,0.643081784248352
1493095688.202762,6,0.6518576741218567
1493095766.372047,7,0.6428149938583374
1493095844.517506,8,0.6453705430030823
1493095922.503496,9,0.6449773907661438
1493096303.021571,0,0.6733490824699402
1493096378.764186,1,0.666011393070221
1493096454.180442,2,0.6384902596473694
1493096529.732171,3,0.6506782174110413
1493096605.242349,4,0.6636524200439453
1493096680.592104,5,0.6614900827407837
1493096755.838931,6,0.6755110025405884
1493096831.07272,7,0.7407116293907166
1493096906.390365,8,0.7613524794578552
1493096981.610594,9,0.7562413811683655
1493097056.853229,10,0.7607627511024475
1493097132.211569,11,0.7678396105766296
1493097207.457332,12,0.7631216645240784
1493097282.820864,13,0.78282231092453
1493097358.063766,14,0.7747198939323425
1493097441.891337,0,0.7037546634674072
1493097520.39819,1,0.7021820545196533
1493097598.79691,2,0.6951051950454712
1493097677.33883,3,0.712404191493988
1493098230.945543,0,0.8056210875511169
1493098306.564749,1,0.7118144035339355
1493098382.072847,2,0.7291133999824524
1493098457.441161,3,0.7495576739311218
1493098532.739884,4,0.7470021843910217
1493098632.671715,0,0.7234669923782349
1493098708.180619,1,0.6966778039932251
1493098783.629969,2,0.6929427981376648
1493098858.881196,3,0.6954983472824097
1493099064.133892,0,0.03419811278581619
1493099139.962942,1,0.13839198648929596
1493099215.436407,2,0.24002358317375183
1493099290.741174,3,0.31531354784965515
1493099421.159321,0,0.037146225571632385
1493099496.565483,1,0.14743463695049286
1493099571.843947,2,0.2404167503118515
1493099646.899029,3,0.31098878383636475
1493099721.976169,4,0.3640652596950531
1493099797.044703,5,0.3951248228549957
1493099872.10493,6,0.4270833432674408
1493099947.023294,7,0.45016708970069885
1493100022.052873,8,0.47473952174186707
1493100097.005157,9,0.4894829988479614
1493100172.012859,10,0.49223509430885315
1493100246.949317,11,0.511696457862854
1493100321.798919,12,0.5173972845077515
1493100396.799554,13,0.525943398475647
1493100471.791758,14,0.5419697165489197
1493100555.845534,0,0.564183235168457
1493100634.15157,1,0.569294273853302
1493100712.332127,2,0.569294273853302
1493100790.619515,3,0.5659524202346802
1493100868.816217,4,0.5726361274719238
1493100947.075599,5,0.5733097195625305
1493101025.391079,6,0.5722429752349854
1493101103.619619,7,0.5590721368789673
1493101181.91694,8,0.568507969379425
1493101260.034296,9,0.5633968710899353
1493101480.348208,0,0.5982704162597656
1493101556.098371,1,0.560644805431366
1493101631.494266,2,0.5594652891159058
1493101706.796322,3,0.558875560760498
1493101782.1599,4,0.5759779810905457
1493101857.614928,5,0.5604482293128967
1493101932.890703,6,0.5797955989837646
1493102008.108393,7,0.5879693627357483
1493102083.479505,8,0.6013367176055908
1493102158.777785,9,0.5913111567497253
1493102234.055098,10,0.597208559513092
1493102309.287749,11,0.597994863986969
1493102384.405097,12,0.608413577079773
1493102459.625078,13,0.6920204162597656
1493102534.832565,14,0.7135836482048035
1493102686.11877,0,0.7216981053352356
1493102761.417313,1,0.6420286893844604
1493102836.648281,2,0.6402595043182373
1493102911.733724,3,0.6778061985969543
1493102986.85636,4,0.6850796341896057
1493103061.869666,5,0.6744643449783325
1493103136.957125,6,0.6892688870429993
1493103211.992158,7,0.685276210308075
1493103287.058199,8,0.7006093859672546
1493103362.038125,9,0.6923530697822571
1493103437.060879,10,0.6945154070854187
1493103511.983999,11,0.7033615112304688
1493103587.026866,12,0.7047375440597534
1493103662.100263,13,0.7808569073677063
1493103737.01718,14,0.795164167881012
1493103812.062216,15,0.636524498462677
1493103886.99082,16,0.641635537147522
1493103961.993982,17,0.6428149938583374
1493104037.269528,18,0.6532337069511414
1493104113.622544,19,0.6475329399108887
1493104190.245438,20,0.6519261002540588
1493104265.59474,21,0.6524474024772644
1493104342.022113,22,0.6485158205032349
1493104419.585826,23,0.6542166471481323
1493104495.725618,24,0.6593276858329773
1493104570.818979,25,0.6479260921478271
1493104645.854214,26,0.6741352081298828
1493104720.941709,27,0.6683703660964966
1493104796.027203,28,0.6614900827407837
1493104871.076685,29,0.6656182408332825
1493104946.089713,30,0.6740711331367493
1493105021.003772,31,0.6683703660964966
1493105096.089788,32,0.6667976975440979
1493105171.272454,33,0.6780660152435303
1493105246.327855,34,0.6872419714927673
1493105321.36055,35,0.6681737899780273
1493105396.357636,36,0.6762335300445557
1493105471.510591,37,0.6797719597816467
1493105546.58762,38,0.67387455701828
1493105621.595353,39,0.6870453953742981
1493105705.036815,0,0.7095125913619995
1493105783.25726,1,0.6956949234008789
1493105861.548607,2,0.707096517086029
1493105939.813191,3,0.7000196576118469
1493106018.067948,4,0.6986436247825623
1493106096.3803,5,0.7129939198493958
1493106174.544033,6,0.7114212512969971
1493106252.784712,7,0.6971305012702942
1493106331.002241,8,0.6972675323486328
1493106409.299135,9,0.7072930932044983
1493106487.637952,10,0.7080793976783752
1493106565.855107,11,0.7047375440597534
1493106644.164673,12,0.698250412940979
1493106722.357251,13,0.7026336193084717
1493106800.569901,14,0.6905838251113892
1493106878.818181,15,0.7057204842567444
1493106957.111406,16,0.7010025382041931
1493107035.382741,17,0.7037546634674072
1493107113.481102,18,0.6951051950454712
1493107191.62636,19,0.7133870720863342
1493107367.668799,0,0.7957940101623535
1493107446.716507,1,0.7200707793235779
1493107525.603192,2,0.7523097991943359
1493107604.266482,3,0.7680361866950989
1493107682.832127,4,0.7831727862358093
1493107761.398136,5,0.7731472253799438
1493107868.649377,0,0.7959905862808228
1493107947.485904,1,0.7206605076789856
1493108108.831179,0,0.7969732880592346
1493108190.129384,1,0.7206605076789856
1493108271.247601,2,0.7546687722206116
1493108352.181215,3,0.7686259150505066
1493108433.14706,4,0.7833693623542786
1493108514.069162,5,0.7749164700508118
1493109112.159617,0,0.04147012531757355
1493109187.808278,1,0.16866523027420044
1493109263.310741,2,0.25673285126686096
1493109338.596839,3,0.3282877802848816
1493109413.364074,4,0.38097110390663147
