Wall time,Step,Value
1493094084.909943,0,4.976871967315674
1493094160.278243,1,3.4228787422180176
1493094235.502752,2,2.7742903232574463
1493094310.594581,3,2.398247480392456
1493094385.727771,4,2.190636157989502
1493094460.91385,5,2.029223680496216
1493094535.94442,6,1.8544573783874512
1493094610.909571,7,1.7655383348464966
1493094685.929273,8,1.6417630910873413
1493094761.002905,9,1.6110390424728394
1493094836.072362,10,1.5652014017105103
1493094911.147381,11,1.5211912393569946
1493094986.1758,12,1.4850658178329468
1493095061.15517,13,1.3874460458755493
1493095136.128407,14,1.3707658052444458
1493095219.253993,0,1.3566383123397827
1493095297.409707,1,1.3268482685089111
1493095375.51313,2,1.3636879920959473
1493095453.669335,3,1.2842158079147339
1493095531.757247,4,1.3488835096359253
1493095609.976472,5,1.3167015314102173
1493095688.202835,6,1.327064037322998
1493095766.372119,7,1.3024729490280151
1493095844.517563,8,1.3166899681091309
1493095922.503552,9,1.335862398147583
1493096303.021631,0,1.2206906080245972
1493096378.764249,1,1.242904543876648
1493096454.180506,2,1.3130054473876953
1493096529.732232,3,1.2853196859359741
1493096605.242407,4,1.2400444746017456
1493096680.592179,5,1.2459996938705444
1493096755.838993,6,1.1800737380981445
1493096831.072782,7,0.9215102791786194
1493096906.390425,8,0.8422395586967468
1493096981.610651,9,0.858126163482666
1493097056.853286,10,0.8662406802177429
1493097132.211629,11,0.8115701079368591
1493097207.457386,12,0.8437567353248596
1493097282.820921,13,0.7704043388366699
1493097358.063833,14,0.7809681296348572
1493097441.891385,0,1.2028188705444336
1493097520.398239,1,1.212346076965332
1493097598.796991,2,1.2116587162017822
1493097677.338886,3,1.1613203287124634
1493098230.94561,0,0.7316786646842957
1493098306.564822,1,1.0543124675750732
1493098382.072915,2,1.0184303522109985
1493098457.441223,3,0.9291675686836243
1493098532.73994,4,0.9091414213180542
1493098632.671784,0,1.096419334411621
1493098708.180684,1,1.1179550886154175
1493098783.630023,2,1.1511304378509521
1493098858.881263,3,1.1210578680038452
1493099064.133957,0,5.199365139007568
1493099139.963021,1,3.899446964263916
1493099215.436462,2,3.192577838897705
1493099290.741238,3,2.7986981868743896
1493099421.159379,0,5.201323509216309
1493099496.565535,1,3.893834352493286
1493099571.844005,2,3.1991569995880127
1493099646.899082,3,2.768308401107788
1493099721.976248,4,2.5523509979248047
1493099797.044757,5,2.4172558784484863
1493099872.104987,6,2.243522882461548
1493099947.02335,7,2.1293344497680664
1493100022.052933,8,2.0452799797058105
1493100097.005207,9,2.002087354660034
1493100172.012918,10,1.9401787519454956
1493100246.949368,11,1.8685544729232788
1493100321.798976,12,1.8581708669662476
1493100396.799606,13,1.7993661165237427
1493100471.791816,14,1.717026948928833
1493100555.845592,0,1.6305269002914429
1493100634.151629,1,1.627984642982483
1493100712.332195,2,1.5942462682724
1493100790.619577,3,1.6192599534988403
1493100868.816277,4,1.5852257013320923
1493100947.075657,5,1.597305417060852
1493101025.391129,6,1.5995124578475952
1493101103.61967,7,1.6404471397399902
1493101181.916994,8,1.61399507522583
1493101260.034355,9,1.6038939952850342
1493101480.34827,0,1.5463961362838745
1493101556.098447,1,1.6880143880844116
1493101631.494328,2,1.6733556985855103
1493101706.796396,3,1.6770975589752197
1493101782.159971,4,1.6153982877731323
1493101857.614979,5,1.6811565160751343
1493101932.890798,6,1.6041866540908813
1493102008.108469,7,1.573477029800415
1493102083.479561,8,1.5780880451202393
1493102158.777841,9,1.571234107017517
1493102234.055147,10,1.5472230911254883
1493102309.287808,11,1.5519081354141235
1493102384.405154,12,1.5185073614120483
1493102459.625141,13,1.1419388055801392
1493102534.832628,14,1.0625014305114746
1493102686.118834,0,1.072548270225525
1493102761.417384,1,1.4362390041351318
1493102836.648344,2,1.3932002782821655
1493102911.73378,3,1.2515978813171387
1493102986.85641,4,1.2377078533172607
1493103061.869721,5,1.2637109756469727
1493103136.957186,6,1.1916817426681519
1493103211.992215,7,1.1766564846038818
1493103287.058256,8,1.168126106262207
1493103362.038186,9,1.1847376823425293
1493103437.060935,10,1.175021767616272
1493103511.984074,11,1.1396477222442627
1493103587.026924,12,1.1533881425857544
1493103662.100349,13,0.7853464484214783
1493103737.017234,14,0.7578262686729431
1493103812.062285,15,1.4690300226211548
1493103886.990876,16,1.434739351272583
1493103961.99409,17,1.4227266311645508
1493104037.269581,18,1.4182534217834473
1493104113.622596,19,1.413198471069336
1493104190.245507,20,1.4052646160125732
1493104265.594802,21,1.3971525430679321
1493104342.022173,22,1.4305576086044312
1493104419.585879,23,1.4076118469238281
1493104495.72569,24,1.4141120910644531
1493104570.819039,25,1.4476525783538818
1493104645.854279,26,1.347667932510376
1493104720.941771,27,1.3678147792816162
1493104796.027258,28,1.369337558746338
1493104871.076741,29,1.387359857559204
1493104946.089777,30,1.3276476860046387
1493105021.003833,31,1.354280710220337
1493105096.089854,32,1.392553687095642
1493105171.272511,33,1.3721688985824585
1493105246.327918,34,1.3543784618377686
1493105321.36062,35,1.3824210166931152
1493105396.357702,36,1.37625253200531
1493105471.510643,37,1.332366704940796
1493105546.587684,38,1.3762089014053345
1493105621.595405,39,1.3510692119598389
1493105705.036872,0,1.222554326057434
1493105783.257313,1,1.2593270540237427
1493105861.548662,2,1.1996129751205444
1493105939.813244,3,1.208490014076233
1493106018.06801,4,1.2395410537719727
1493106096.380355,5,1.1695383787155151
1493106174.54409,6,1.206933617591858
1493106252.784761,7,1.2494513988494873
1493106331.002302,8,1.2519848346710205
1493106409.29919,9,1.211351990699768
1493106487.638003,10,1.1748578548431396
1493106565.855167,11,1.200994610786438
1493106644.164728,12,1.2290904521942139
1493106722.357311,13,1.2336337566375732
1493106800.569965,14,1.244651198387146
1493106878.818237,15,1.2272535562515259
1493106957.111459,16,1.2063852548599243
1493107035.382795,17,1.2136305570602417
1493107113.481167,18,1.234100341796875
1493107191.626425,19,1.1938872337341309
1493107367.668864,0,0.7364633083343506
1493107446.716562,1,1.1241501569747925
1493107525.603251,2,0.98338782787323
1493107604.266566,3,0.8761479258537292
1493107682.832188,4,0.8357658386230469
1493107761.398204,5,0.8759889602661133
1493107868.649438,0,0.7337028980255127
1493107947.485971,1,1.1196178197860718
1493108108.831251,0,0.7331188321113586
1493108190.12945,1,1.118578553199768
1493108271.24771,2,0.9774687886238098
1493108352.181274,3,0.8697848320007324
1493108433.147116,4,0.8294675946235657
1493108514.069238,5,0.8684845566749573
1493109112.159687,0,5.09343957901001
1493109187.808339,1,3.7203524112701416
1493109263.310802,2,3.057903528213501
1493109338.596894,3,2.688202381134033
1493109413.364133,4,2.453265905380249
1493109488.089374,5,2.3310787677764893
1493109562.948232,6,2.1822476387023926
1493109637.627387,7,2.084841251373291
1493109712.423336,8,2.0502474308013916
1493109787.198132,9,1.924405813217163
1493109862.062081,10,1.931809663772583
1493109936.882535,11,1.8516120910644531
1493110011.605187,12,1.8916985988616943
1493110086.366523,13,1.797664999961853
1493110161.025301,14,1.7626721858978271
1493110235.88012,15,1.7510738372802734
1493110310.693854,16,1.7109726667404175
1493110385.389902,17,1.7193447351455688
1493110460.152099,18,1.6883964538574219
1493110534.854351,19,1.6643255949020386
1493110609.662583,20,1.637427568435669
1493110684.476485,21,1.6450917720794678
1493110759.218667,22,1.6339937448501587
1493110833.997521,23,1.6596882343292236
1493110908.615869,24,1.575644612312317
1493110983.343533,25,1.6180061101913452
1493111058.161827,26,1.5863014459609985
1493111132.976883,27,1.5269076824188232
1493111207.705201,28,1.5951895713806152
1493111282.384999,29,1.5558414459228516
1493111357.097086,30,1.573052167892456
1493111431.792907,31,1.5218571424484253
1493111506.596283,32,1.5667147636413574
1493111581.389136,33,1.5171085596084595
1493111656.091831,34,1.4773494005203247
1493111730.781204,35,1.5344085693359375
1493111805.439841,36,1.4953893423080444
1493111880.203722,37,1.527312159538269
1493111954.939629,38,1.5106439590454102
1493112029.611416,39,1.519544243812561
