Wall time,Step,Value
1492942111.847578,0,0.054441824555397034
1492942186.589915,1,0.2273983359336853
1492942261.024431,2,0.3199763000011444
1492942335.655419,3,0.4018949866294861
1492942410.292895,4,0.4472956955432892
1492942484.936648,5,0.48499801754951477
1492942559.763559,6,0.53125
1492942634.133062,7,0.5517173409461975
1492942708.775621,8,0.5621792078018188
1492942783.102124,9,0.5836952328681946
1492942857.692243,10,0.6048164367675781
1492942932.395527,11,0.6129096150398254
1492943006.816416,12,0.6161556839942932
1492943081.398292,13,0.6435057520866394
1492943155.703231,14,0.6397552490234375
1492943237.973387,0,0.666008710861206
1492943315.687391,1,0.6707461476325989
1492943393.100837,2,0.6841689944267273
1492943471.15233,3,0.6754836440086365
1492943548.716291,4,0.6819968819618225
1492943626.470888,5,0.6843663454055786
1492943704.16735,6,0.6691669821739197
1492943781.615043,7,0.6792340874671936
1492943859.273199,8,0.6782471537590027
1492943936.686734,9,0.6666008830070496
