Wall time,Step,Value
1493120177.590882,0,0.06839622557163239
1493120255.16991,1,0.24990130960941315
1493120332.595168,2,0.37919461727142334
1493120410.435781,3,0.44078168272972107
1493120488.288416,4,0.4998026192188263
1493120566.184155,5,0.5424398183822632
1493120644.305642,6,0.5709512829780579
1493120721.910991,7,0.5990920066833496
1493120799.847195,8,0.6285037398338318
1493120877.498471,9,0.6316620707511902
1493120955.432087,10,0.645479679107666
1493121033.409318,11,0.6589024662971497
1493121111.217127,12,0.6713836193084717
1493121189.1315,13,0.6966047883033752
1493121266.743186,14,0.6995657086372375
1493121352.925043,0,0.7114093899726868
1493121434.288283,1,0.7238452434539795
1493121515.381986,2,0.7392420172691345
1493121596.820845,3,0.7301618456840515
1493121678.131596,4,0.7317216992378235
1493121759.621746,5,0.7337149381637573
1493121841.092045,6,0.7424002885818481
1493121922.215156,7,0.741018533706665
1493122003.611698,8,0.7364785075187683
